,group,group_id,name,homepage,description,category,projectrank,show,commit_count,recent_commit_count,star_count,monthly_downloads,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,projectrank_placing,labels,trending,github_id,npm_id,maven_id,github_url,license,latest_stable_release_number,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,go_id,github_release_downloads,go_url,go_latest_release_published_at,go_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,maven_dependent_project_count,conda_id,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,updated_github_id
10,True,fil,FIL - Filecoin,https://github.com/filecoin-project,The Filecoin network achieves staggering economies of scale by allowing anyone worldwide to participate as storage..,web3,37,True,33525.0,1451.0,6743.0,91011.33333333331,2993.0,1024.0,1734.0,13166.0,1935.0,7528.0,1321.0,842.0,2017-12-05 18:41:10,2022-02-16 18:07:22.000,2022-02-16 12:52:11,2022-02-09 14:32:14.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,True,eos,EOS - EOS,https://github.com/eosio,Cryptocurrency token and blockchain that operates as a smart contract platform for the deployment of decentralized..,smart-contract-platform,36,True,32812.0,9.0,18117.0,793546.0,7881.0,2440.0,740.0,10027.0,937.0,6228.0,11773.0,789.0,2017-04-05 17:09:53,2022-02-16 00:40:34.000,2022-01-13 18:10:57,2021-08-24 18:22:18.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,True,miota,MIOTA - IOTA,https://github.com/iotaledger,"Open-source distributed data logging technology, which aims to securely enable the exchange of information and value..",iot,36,True,32712.0,410.0,7940.0,99022.0,2162.0,1051.0,674.0,10627.0,1899.0,5024.0,1087.0,635.0,2016-07-20 15:44:50,2022-02-16 18:10:52.000,2022-02-16 15:34:25,2022-02-11 14:06:12.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,True,trx,TRX - TRON,https://github.com/tronprotocol,TRON: Decentralize the Web TRON is dedicated to building the infrastructure for a truly decentralized Internet. The..,smart-contract-platform,36,True,28214.0,215.0,4415.0,153404.0,2436.0,617.0,321.0,4931.0,137.0,1524.0,1964.0,627.0,2017-12-26 10:20:38,2022-02-16 03:56:39.000,2022-02-09 03:05:39,2022-01-12 07:23:39.763,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,True,srm,SRM - Serum,https://github.com/project-serum,Worlds first completely decentralized derivatives exchange with trustless cross-chain trading.,exchange-tokens,36,True,2555.0,192.0,4159.0,1002962.0,2111.0,193.0,282.0,1474.0,835.0,544.0,7922.0,290.0,2020-08-05 09:14:17,2022-02-16 18:06:52.000,2022-02-16 15:11:12,2022-02-14 15:48:48.000,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,True,flow,FLOW - Flow,https://github.com/onflow,"Fast, decentralized, and developer-friendly blockchain, designed as the foundation for a new generation of..",metaverse,36,True,37482.0,2955.0,2656.0,132442.0,806.0,492.0,1261.0,5489.0,628.0,1164.0,3711.0,468.0,2020-04-15 21:09:27,2022-02-16 18:34:55.000,2022-02-16 17:49:23,2022-02-16 15:26:24.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,True,ens,ENS - Ethereum Name Service,https://github.com/ensdomains,"The Ethereum Name Service (ENS) is a distributed, open, and extensible naming system based on the Ethereum blockchain...",metaverse,36,True,5533.0,299.0,1995.0,898898.0,1057.0,192.0,146.0,2202.0,376.0,894.0,55512.0,265.0,2016-05-29 11:31:55,2022-02-16 07:07:20.000,2022-02-15 22:45:07,2022-02-15 22:46:06.000,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,True,bnb,BNB - Binance Coin,https://github.com/binance-chain,Digital token of the Binance exchange. It is an exchanging token only for cryptographic forms of money. The name..,exchange-tokens,35,True,17548.0,113.0,9487.0,11340.0,4642.0,1192.0,244.0,2031.0,505.0,1111.0,632.0,1075.0,2017-10-16 04:17:35,2022-02-16 12:59:42.000,2022-02-15 05:53:48,2022-01-28 03:54:47.000,1.0,['bsc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,True,neo,NEO - NEO,https://github.com/neo-project,Non-profit community-based blockchain project that utilizes blockchain technology and digital identity to digitize..,smart-contract-platform,35,True,12731.0,66.0,6382.0,124468.0,3149.0,947.0,329.0,7677.0,567.0,4902.0,955.0,663.0,2015-05-31 17:02:33,2022-02-16 10:41:53.000,2022-02-16 02:30:34,2022-02-08 17:05:39.000,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,True,xrp,XRP - XRP,https://github.com/ripple,"Ripple (XRP) is one of the fastest and most scalable digital asset, enabling real-time global payments anywhere in the..",cryptocurrency,35,True,19239.0,109.0,5490.0,217186.0,1964.0,860.0,386.0,5189.0,414.0,1272.0,1981.0,292.0,2011-11-07 04:40:15,2022-02-16 00:59:13.000,2022-02-10 23:22:11,2022-02-08 03:25:30.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,True,lsk,LSK - Lisk,https://github.com/LiskHQ,Lisk makes it easy for developers to build and deploy blockchain applications in JavaScript. Develop and publish..,smart-contract-platform,35,True,61855.0,1361.0,3778.0,28602.0,728.0,361.0,286.0,6447.0,394.0,7463.0,200.0,259.0,2016-01-11 15:57:05,2022-02-16 18:38:19.000,2022-02-16 08:47:31,2022-02-08 14:50:13.000,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,True,ant,ANT - Aragon,https://github.com/aragon,Aragon was born to bring transparency and independent governance to the forefront of managing an organization. We want..,web3,35,True,10437.0,98.0,3680.0,14532.0,1431.0,499.0,614.0,6804.0,752.0,2567.0,4952.0,544.0,2017-03-01 15:45:32,2022-02-16 10:59:35.000,2022-02-16 08:55:18,2022-02-07 10:03:05.000,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,True,gno,GNO - Gnosis,https://github.com/gnosis,Gnosis builds revolutionary market-driven forecasting technology to let you shape the future.,exchange-tokens,35,True,17718.0,516.0,2940.0,31208.0,1677.0,234.0,638.0,6947.0,551.0,4059.0,856.0,244.0,2017-05-19 12:38:57,2022-02-16 17:25:35.000,2022-02-16 17:25:33,2022-02-16 15:26:37.000,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,True,algo,ALGO - Algorand,https://github.com/algorand,"Algorand removes the technical barriers that for years undermined mainstream blockchain adoption: decentralization,..",cryptocurrency,35,True,10830.0,739.0,2270.0,182886.6666666667,1009.0,251.0,272.0,4673.0,658.0,1737.0,1438.0,466.0,2018-10-09 17:10:16,2022-02-16 17:59:06.000,2022-02-16 17:59:06,2022-02-15 21:55:08.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,True,lbc,LBC - LBRY Credits,https://github.com/lbryio,"Meet LBRY, a content sharing and publishing platform that is decentralized and owned by its users.",exchange-tokens,34,True,48633.0,317.0,19016.0,946188.0,1503.0,468.0,397.0,8195.0,1461.0,6206.0,2.0,1358.0,2015-08-20 15:24:10,2022-02-16 18:42:41.000,2022-02-16 16:55:22,2022-02-16 03:24:23.000,1.0,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,True,cake,CAKE - PancakeSwap,https://github.com/pancakeswap,"Automated market maker (AMM) that allows two tokens to be exchanged on the Binance Smart Chain. It is fast, cheap, and..",amm,34,True,6530.0,545.0,3624.0,57702.0,7139.0,231.0,136.0,4133.0,253.0,510.0,5085.0,285.0,2020-09-14 05:26:25,2022-02-16 15:09:41.000,2022-02-16 08:19:43,2022-01-04 09:39:29.078,2.0,['bsc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,True,link,LINK - Chainlink,https://github.com/smartcontractkit,"The LINK Network provides smart contracts with data, bank payments and access to APIs.",web3,34,True,18751.0,752.0,3430.0,123242.0,1076.0,577.0,124.0,6127.0,131.0,303.0,3700.0,182.0,2017-07-16 02:55:36,2022-02-16 17:42:05.000,2022-02-16 16:38:09,2022-02-14 20:58:47.000,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,True,sushi,SUSHI - Sushi,https://github.com/sushiswap,"DeFi protocol that is completely community-driven, serving up delicious interest for your held crypto assets. On..",amm,34,True,9318.0,1373.0,2749.0,26390.0,2444.0,262.0,134.0,1228.0,148.0,186.0,724.0,233.0,2020-08-24 06:21:05,2022-02-16 17:18:12.000,2022-02-16 17:18:09,2022-02-11 16:52:27.721,2.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,True,grt,GRT - The Graph,https://github.com/graphprotocol,Indexing protocol and global API for organizing blockchain data and making it easily accessible with GraphQL...,web3,34,True,10001.0,414.0,2688.0,7236.0,869.0,279.0,225.0,3843.0,504.0,1445.0,12588.0,206.0,2018-04-19 07:13:50,2022-02-16 17:00:36.000,2022-02-15 14:52:23,2022-02-16 16:59:04.000,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,True,dcr,DCR - Decred,https://github.com/decred,"Autonomous digital currency. With a hybrid consensus system, it is built to be a decentralized, sustainable, and self-..",privacy-coins,34,True,26942.0,492.0,2550.0,31400.0,1586.0,519.0,519.0,13340.0,946.0,6649.0,281.0,861.0,2015-12-16 17:08:26,2022-02-16 15:18:51.000,2022-02-15 15:57:22,2022-02-15 21:40:23.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,True,dash,DASH - Dash,https://github.com/dashpay,The project was initially released under the name XCoin (linking the identifier XCO to the monetary amounts..,cryptocurrency,34,True,37796.0,110.0,1943.0,1935264.0,1962.0,397.0,343.0,5867.0,172.0,759.0,395.0,996.0,2014-05-01 17:45:34,2022-02-16 16:52:40.000,2022-02-14 16:50:13,2022-02-08 16:09:50.000,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,True,twt,TWT - Trust Wallet Token,https://github.com/trustwallet,Trust Wallet Token (TWT) 511 is a utility token that can only be used within the app. This will be used to incentivize..,exchange-tokens,33,True,19272.0,697.0,5252.0,4736.0,13902.0,429.0,257.0,21883.0,114.0,2184.0,26.0,4557.0,2018-01-24 22:40:17,2022-02-16 17:21:09.000,2022-02-16 13:48:29,2022-02-05 04:43:04.000,1.0,['bsc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,True,mkr,MKR - Maker,https://github.com/makerdao,"Utility token, governance token and recapitalization resource of the Maker system.",defi,33,True,16960.0,413.0,3724.0,33052.0,1423.0,594.0,229.0,3210.0,183.0,596.0,811.0,417.0,2017-03-29 20:26:37,2022-02-15 19:49:41.000,2022-02-14 12:43:29,2022-02-07 13:18:30.405,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,True,icp,ICP - Internet Computer,https://github.com/dfinity,Worlds first blockchain that is capable of running at web speed at unrestrictive capacities. Built by the DFINITY..,smart-contract-platform,33,True,12114.0,2241.0,3601.0,481220.0,809.0,622.0,232.0,7427.0,720.0,1067.0,38.0,491.0,2018-05-11 11:12:10,2022-02-16 18:19:25.000,2022-02-16 18:19:21,2022-02-16 00:33:58.000,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,True,avax,AVAX - Avalanche,https://github.com/ava-labs,Open-source platform for launching decentralized finance applications and enterprise blockchain deployments in one..,smart-contract-platform,33,True,18219.0,1484.0,2493.0,21966.0,868.0,387.0,679.0,2675.0,182.0,524.0,480.0,305.0,2019-12-31 00:09:18,2022-02-16 17:10:47.000,2022-02-16 03:00:07,2022-02-16 03:09:51.000,2.0,['avax'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,True,bzz,BZZ - Swarm,https://github.com/ethersphere,System of peer-to-peer networked nodes that create a decentralised storage and communication service. The system is..,others,33,True,14117.0,245.0,2235.0,61164.0,620.0,200.0,395.0,3901.0,478.0,2267.0,179.0,578.0,2014-03-16 02:06:34,2022-02-16 15:58:14.000,2022-02-16 12:35:43,2022-02-16 09:15:10.858,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,True,bts,BTS - BitShares,https://github.com/bitshares,"Public, blockchain-based, real-time financial platform. It provides a decentralised asset exchange. BTS is a..",exchange-tokens,33,True,20583.0,97.0,2158.0,9958.0,1797.0,381.0,317.0,3303.0,864.0,3072.0,516.0,388.0,2015-10-12 17:36:04,2022-02-15 03:49:52.000,2022-02-05 22:29:09,2021-12-16 11:07:47.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,True,mana,MANA - Decentraland,https://github.com/decentraland,"Decentraland will be a virtual reality platform powered by the Ethereum blockchain. Users can create, experience, and..",metaverse,33,True,9519.0,268.0,2040.0,27176.0,915.0,453.0,2869.0,5564.0,627.0,2357.0,542.0,252.0,2017-07-11 04:13:11,2022-02-16 17:50:10.000,2022-02-16 17:07:56,2022-02-10 15:38:46.000,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,True,maid,MAID - MaidSafeCoin,https://github.com/maidsafe,"Blockchain based storage solutions that store a data identifier (e.g. hash) in a blockchain, but store the data..",web3,33,True,38747.0,676.0,1735.0,59706.000000000015,553.0,297.0,999.0,8735.0,354.0,1450.0,278.0,519.0,2015-02-24 16:52:53,2022-02-16 17:00:56.000,2022-02-16 17:00:55,2022-02-13 17:15:45.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,True,hbar,HBAR - Hedera,https://github.com/hashgraph,Decentralized public network for you to make your digital world exactly as it should be yours. Whether youre a startup..,exchange-tokens,33,True,14629.0,939.0,1087.0,56326.0,453.0,256.0,453.0,5658.0,594.0,2999.0,215.0,184.0,2017-10-31 02:29:52,2022-02-16 18:24:17.000,2022-02-15 20:56:06,2022-02-16 01:24:46.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,True,clny,CLNY - MarsColony,https://github.com/JoinColony,Hybrid token that contains attributes of government and utility tokens. Token holders can use this token to take part..,others,33,True,19998.0,606.0,818.0,536224.0,199.0,107.0,130.0,3172.0,243.0,1989.0,1388.0,133.0,2017-04-12 19:14:16,2022-02-16 17:14:29.000,2022-02-16 08:22:56,2022-02-14 14:46:08.000,1.0,['one'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,True,ada,ADA - Cardano,https://github.com/input-output-hk,"Token on a distributed computing platform that runs smart contracts, decentralized applications, side chains, multi-..",smart-contract-platform,32,True,54524.0,761.0,7791.0,3672.0,1734.0,1031.0,291.0,14018.0,1278.0,3239.0,52.0,613.0,2015-12-22 17:38:21,2022-02-16 18:48:14.000,2022-02-16 12:25:36,2022-02-11 16:16:30.000,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,True,storj,STORJ - Storj,https://github.com/storj,"Distributed, encrypted, and blazing fast object storage, where only you have access to your data.",web3,32,True,12626.0,278.0,3692.0,244078.0,525.0,323.0,1157.0,4882.0,325.0,642.0,137.0,285.0,2016-03-28 19:59:15,2022-02-16 18:20:06.000,2022-02-16 17:26:23,2022-02-08 15:58:41.000,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,True,nim,NIM - Nimiq,https://github.com/nimiq,Blockchain designed for simplicity. Nimiq aims to be the best performing and easiest-to-use decentralized payment..,others,32,True,7715.0,366.0,2449.0,85086.0,635.0,214.0,81.0,981.0,130.0,507.0,866.0,125.0,2017-05-09 19:33:54,2022-02-16 06:57:31.000,2022-02-15 17:58:50,2022-02-04 11:20:06.442,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,True,ckb,CKB - Nervos Network,https://github.com/nervosnetwork,"Nervos CKByte (Common Knowledge Byte) is the native token of the Nervos Common Knowledge Base, a multi-asset, store of..",others,32,True,20644.0,457.0,2102.0,58660.0,532.0,235.0,372.0,7921.0,119.0,660.0,219.0,203.0,2018-02-26 06:42:54,2022-02-16 16:06:19.000,2022-02-16 03:29:25,2022-01-21 04:41:02.820,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,True,matic,MATIC - Polygon,https://github.com/maticnetwork,Matic Network brings massive scale to Ethereum using an adapted version of Plasma with PoS based side chains.,smart-contract-platform,32,True,21158.0,363.0,1965.0,39640.0,979.0,354.0,219.0,2408.0,244.0,407.0,846.0,945.0,2017-08-05 15:23:46,2022-02-16 16:02:52.000,2022-02-16 12:17:52,2022-02-15 13:27:40.991,2.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,True,luna,LUNA - Terra,https://github.com/terra-money,A stable foundation for the future of decentralized finance.,defi,32,True,5790.0,850.0,1554.0,150932.0,915.0,264.0,379.0,1679.0,74.0,693.0,758.0,521.0,2018-11-18 17:11:47,2022-02-16 04:35:49.000,2022-02-16 04:21:07,2022-02-15 00:49:43.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,True,ae,AE - Aeternity,https://github.com/aeternity,"Ternity team is building a next-level, brand new blockchain technology in the making, with many features that tackle..",web3,32,True,12900.0,393.0,1531.0,5592.0,404.0,281.0,341.0,5528.0,482.0,1555.0,386.0,207.0,2017-08-09 11:44:30,2022-02-16 14:46:06.000,2022-02-16 14:44:54,2022-02-12 07:00:47.000,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,True,etc,ETC - Ethereum Classic,https://github.com/ethereumclassic,Open source distributed computing platform based on blockchain that offers a smart contract (scripting) functionality...,smart-contract-platform,32,True,226732.0,287.0,1449.0,8834.0,963.0,206.0,269.0,4104.0,537.0,1709.0,3.0,2951.0,2016-07-15 07:43:41,2022-02-16 18:22:58.000,2022-02-16 16:05:37,2022-02-16 18:13:39.000,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,True,snt,SNT - Status,https://github.com/status-im,"Interface to access Ethereum, built for Android & iOS. Enjoy encrypted messaging, a cryptocurrency wallet, and..",web3,31,True,22619.0,301.0,6385.0,182.0,1399.0,600.0,186.0,10481.0,703.0,7626.0,26.0,1535.0,2016-02-22 21:48:48,2022-02-16 18:23:49.000,2022-02-16 09:22:19,2022-02-01 11:50:17.000,2.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,True,zec,ZEC - Zcash,https://github.com/zcash,Decentralized and open-source cryptocurrency that provides strong privacy protections. Shielded transactions hide the..,privacy-coins,31,True,23996.0,853.0,5249.0,18296.666666666664,2200.0,541.0,88.0,3408.0,1446.0,3079.0,7.0,718.0,2014-11-22 03:13:10,2022-02-16 17:14:43.000,2022-02-16 16:30:34,2022-01-05 22:40:24.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,True,zrx,ZRX - 0x,https://github.com/0xProject,"An Open Protocol For Decentralized Exchange On The Ethereum Blockchain 0x is an open, permissionless protocol allowing..",exchange-tokens,31,True,26177.0,98.0,3355.0,14496.666666666668,1652.0,300.0,172.0,5535.0,614.0,1220.0,54.0,303.0,2017-04-24 21:03:08,2022-02-16 10:15:24.000,2022-02-15 23:02:20,2021-08-16 02:03:54.419,2.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,True,snx,SNX - Synthetix Network Token,https://github.com/Synthetixio,Synthetix Network Token will be a decentralised payment network where users transact directly in a price-stable..,defi,31,True,15772.0,720.0,1283.0,54988.0,805.0,148.0,790.0,4725.0,246.0,235.0,351.0,427.0,2017-11-30 07:43:43,2022-02-16 17:04:30.000,2022-02-15 22:16:44,2022-02-14 22:20:53.000,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,True,egld,EGLD - Elrond,https://github.com/ElrondNetwork,"Technology ecosystem for the new internet. Its smart contracts execution platform is capable of 15,000 TPS, 5s latency..",smart-contract-platform,31,True,34112.0,1872.0,1229.0,4397.333333333333,350.0,192.0,783.0,5273.0,166.0,500.0,74.0,167.0,2018-08-17 09:42:40,2022-02-16 18:16:57.000,2022-02-16 18:09:49,2022-02-15 13:47:07.321,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,True,celo,CELO - Celo,https://github.com/celo-org,"A platform for fast, secure, stable digital payments to any mobile number at a fraction of todays cost.",cryptocurrency,31,True,18323.0,121.0,992.0,115548.0,426.0,237.0,494.0,5755.0,1527.0,4357.0,69.0,932.0,2018-03-23 00:51:51,2022-02-16 18:17:50.000,2022-02-16 16:35:18,2022-02-16 16:59:56.140,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,True,ever,EVER - Everscale,https://github.com/tonlabs,"Fast, secure and scalable network with near-zero fees, which can process up to a million transactions per second..",others,31,True,302227.0,545.0,605.0,4854.0,221.0,159.0,272.0,2118.0,49.0,125.0,251.0,1424.0,2019-04-15 13:36:56,2022-02-16 13:00:39.000,2022-02-16 09:38:53,2022-02-16 11:07:17.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,True,hns,HNS - Handshake,https://github.com/handshake-org,Decentralized naming and certificate authority.,web3,30,True,8249.0,56.0,3514.0,8472.666666666668,489.0,295.0,102.0,634.0,227.0,374.0,547.0,131.0,2018-02-09 01:30:38,2022-02-12 18:37:08.299,2022-02-12 18:35:13,2022-02-12 18:37:08.299,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
