,group,group_id,name,homepage,description,category,projectrank,show,commit_count,recent_commit_count,star_count,monthly_downloads,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,projectrank_placing,trending,labels,new_addition,github_id,npm_id,maven_id,github_url,license,latest_stable_release_number,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,go_id,github_release_downloads,go_url,go_latest_release_published_at,go_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,maven_dependent_project_count,conda_id,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,updated_github_id
10,True,xlm,XLM - Stellar,https://github.com/stellar,Open platform for building financial products that connect people everywhere. Stellar blockchain enables near instant..,cryptocurrency,37,True,22447.0,403.0,7627.0,235472.6666666667,3198.0,999.0,721.0,9758.0,1295.0,5062.0,4812.0,789.0,2014-04-23 20:29:36.000,2022-01-19 17:52:47.000,2022-01-19 17:52:43.000,2022-01-18 16:59:23.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,True,fil,FIL - Filecoin,https://github.com/filecoin-project,The Filecoin network achieves staggering economies of scale by allowing anyone worldwide to participate as storage..,web3,37,True,32925.0,1163.0,6591.0,91187.33333333334,2952.0,1027.0,1657.0,12929.0,1948.0,7451.0,1266.0,826.0,2017-12-05 18:41:10.000,2022-01-19 18:03:58.000,2022-01-19 17:17:21.000,2022-01-19 18:03:58.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,True,lbc,LBC - LBRY Credits,https://github.com/lbryio,"Meet LBRY, a content sharing and publishing platform that is decentralized and owned by its users.",exchange-tokens,36,True,48542.0,321.0,19122.0,908990.0,1496.0,472.0,397.0,8129.0,1455.0,6193.0,11.0,1355.0,2015-08-20 15:24:10.000,2022-01-19 17:13:30.000,2022-01-18 01:08:40.000,2021-12-31 17:36:14.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,True,trx,TRX - TRON,https://github.com/tronprotocol,TRON: Decentralize the Web TRON is dedicated to building the infrastructure for a truly decentralized Internet. The..,smart-contract-platform,36,True,28193.0,239.0,4322.0,132814.0,2421.0,606.0,321.0,4888.0,131.0,1510.0,1884.0,625.0,2017-12-26 10:20:38.000,2022-01-19 09:21:09.000,2022-01-14 06:29:13.000,2022-01-12 07:23:39.763,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,True,srm,SRM - Serum,https://github.com/project-serum,Worlds first completely decentralized derivatives exchange with trustless cross-chain trading.,exchange-tokens,36,True,2503.0,193.0,3919.0,783163.3333333334,1953.0,190.0,277.0,1405.0,790.0,503.0,6215.0,279.0,2020-08-05 09:14:17.000,2022-01-19 05:41:02.000,2022-01-18 17:50:14.000,2022-01-09 21:50:59.000,1,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,True,ens,ENS - Ethereum Name Service,https://github.com/ensdomains,"The Ethereum Name Service (ENS) is a distributed, open, and extensible naming system based on the Ethereum blockchain...",metaverse,36,True,5470.0,365.0,1908.0,677354.0,1014.0,193.0,146.0,2155.0,365.0,888.0,42947.0,262.0,2016-05-29 11:31:55.000,2022-01-19 14:07:52.000,2022-01-18 23:10:43.000,2021-12-21 02:12:59.739,1,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,True,miota,MIOTA - IOTA,https://github.com/iotaledger,"Open-source distributed data logging technology, which aims to securely enable the exchange of information and value..",iot,35,True,33466.0,480.0,7901.0,94386.66666666666,2146.0,1050.0,646.0,10322.0,1862.0,4858.0,592.0,630.0,2016-07-20 15:44:50.000,2022-01-19 18:03:27.000,2022-01-19 12:56:07.000,2022-01-19 13:00:10.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,True,neo,NEO - NEO,https://github.com/neo-project,Non-profit community-based blockchain project that utilizes blockchain technology and digital identity to digitize..,smart-contract-platform,35,True,12712.0,77.0,6361.0,123106.0,3148.0,947.0,325.0,7637.0,564.0,4876.0,930.0,661.0,2015-05-31 17:02:33.000,2022-01-19 19:12:17.000,2022-01-19 19:12:17.000,2021-12-21 15:16:08.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,True,xrp,XRP - XRP,https://github.com/ripple,"Ripple (XRP) is one of the fastest and most scalable digital asset, enabling real-time global payments anywhere in the..",cryptocurrency,35,True,19205.0,116.0,5466.0,172020.0,1953.0,866.0,383.0,5153.0,413.0,1263.0,1867.0,292.0,2011-11-07 04:40:15.000,2022-01-19 06:24:16.000,2022-01-19 06:24:14.000,2022-01-18 22:37:14.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,True,lsk,LSK - Lisk,https://github.com/LiskHQ,Lisk makes it easy for developers to build and deploy blockchain applications in JavaScript. Develop and publish..,smart-contract-platform,35,True,60775.0,1413.0,3775.0,28090.0,727.0,361.0,282.0,6373.0,392.0,7389.0,191.0,257.0,2016-01-11 15:57:05.000,2022-01-19 17:03:18.000,2022-01-19 16:22:47.000,2022-01-19 17:15:13.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,True,ant,ANT - Aragon,https://github.com/aragon,Aragon was born to bring transparency and independent governance to the forefront of managing an organization. We want..,web3,35,True,10431.0,149.0,3609.0,18994.0,1411.0,500.0,614.0,6770.0,744.0,2564.0,4714.0,540.0,2017-03-01 15:45:32.000,2022-01-17 11:40:15.000,2022-01-17 11:03:01.000,2022-01-14 11:15:18.000,1,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,True,flow,FLOW - Flow,https://github.com/onflow,"Fast, decentralized, and developer-friendly blockchain, designed as the foundation for a new generation of..",metaverse,35,True,36084.0,2883.0,2537.0,105042.0,758.0,475.0,1160.0,5171.0,554.0,1075.0,3513.0,445.0,2020-04-15 21:09:27.000,2022-01-19 18:22:30.000,2022-01-19 18:19:35.000,2022-01-18 21:51:34.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,True,algo,ALGO - Algorand,https://github.com/algorand,"Algorand removes the technical barriers that for years undermined mainstream blockchain adoption: decentralization,..",cryptocurrency,35,True,10134.0,493.0,2167.0,128409.33333333334,958.0,241.0,262.0,4404.0,635.0,1641.0,1239.0,452.0,2018-10-09 17:10:16.000,2022-01-19 17:59:21.000,2022-01-19 17:27:49.000,2022-01-14 21:46:19.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,True,dash,DASH - Dash,https://github.com/dashpay,The project was initially released under the name XCoin (linking the identifier XCO to the monetary amounts..,cryptocurrency,35,True,37782.0,326.0,1934.0,1956492.0,1961.0,395.0,339.0,5819.0,171.0,756.0,384.0,996.0,2014-05-01 17:45:34.000,2022-01-19 19:16:19.000,2022-01-19 19:09:54.000,2022-01-19 19:16:20.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,True,bnb,BNB - Binance Coin,https://github.com/binance-chain,Digital token of the Binance exchange. It is an exchanging token only for cryptographic forms of money. The name..,exchange-tokens,34,True,17504.0,139.0,9308.0,9968.0,4537.0,1187.0,243.0,1990.0,487.0,1077.0,610.0,1073.0,2017-10-16 04:17:35.000,2022-01-19 15:10:55.000,2022-01-18 05:52:00.000,2022-01-05 04:00:47.000,1,,['bsc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,True,twt,TWT - Trust Wallet Token,https://github.com/trustwallet,Trust Wallet Token (TWT) 511 is a utility token that can only be used within the app. This will be used to incentivize..,exchange-tokens,34,True,19096.0,952.0,5058.0,5140.0,13228.0,418.0,254.0,21189.0,110.0,2131.0,24.0,4490.0,2018-01-24 22:40:17.000,2022-01-19 18:47:33.000,2022-01-19 17:20:47.000,2022-01-04 11:18:31.000,1,,['bsc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,True,cake,CAKE - PancakeSwap,https://github.com/pancakeswap,"Automated market maker (AMM) that allows two tokens to be exchanged on the Binance Smart Chain. It is fast, cheap, and..",amm,34,True,6341.0,481.0,3453.0,54978.0,6813.0,223.0,136.0,3921.0,258.0,497.0,4729.0,270.0,2020-09-14 05:26:25.000,2022-01-19 15:47:26.000,2022-01-19 15:14:27.000,2022-01-04 09:39:29.078,2,,['bsc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,True,link,LINK - Chainlink,https://github.com/smartcontractkit,"The LINK Network provides smart contracts with data, bank payments and access to APIs.",web3,34,True,18430.0,822.0,3287.0,103002.0,1023.0,588.0,107.0,5922.0,109.0,298.0,3320.0,177.0,2017-07-16 02:55:36.000,2022-01-19 17:21:26.000,2022-01-18 22:00:07.000,2022-01-06 03:06:13.688,1,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,True,gno,GNO - Gnosis,https://github.com/gnosis,Gnosis builds revolutionary market-driven forecasting technology to let you shape the future.,exchange-tokens,34,True,17558.0,543.0,2823.0,24172.0,1628.0,235.0,629.0,6731.0,547.0,3934.0,790.0,242.0,2017-05-19 12:38:57.000,2022-01-19 18:31:20.000,2022-01-19 15:55:39.000,2022-01-19 10:31:42.000,1,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,True,sushi,SUSHI - Sushi,https://github.com/sushiswap,"DeFi protocol that is completely community-driven, serving up delicious interest for your held crypto assets. On..",amm,34,True,8979.0,1374.0,2604.0,20736.0,2364.0,262.0,126.0,1160.0,146.0,183.0,618.0,227.0,2020-08-24 06:21:05.000,2022-01-19 16:43:48.000,2022-01-19 14:47:45.000,2022-01-11 14:44:20.321,2,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,True,grt,GRT - The Graph,https://github.com/graphprotocol,Indexing protocol and global API for organizing blockchain data and making it easily accessible with GraphQL...,web3,34,True,9873.0,403.0,2585.0,5728.0,814.0,280.0,220.0,3750.0,494.0,1419.0,11419.0,201.0,2018-04-19 07:13:50.000,2022-01-19 17:39:44.000,2022-01-19 17:38:32.000,2022-01-05 16:58:36.025,1,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,True,dcr,DCR - Decred,https://github.com/decred,"Autonomous digital currency. With a hybrid consensus system, it is built to be a decentralized, sustainable, and self-..",privacy-coins,34,True,26839.0,583.0,2539.0,31556.0,1589.0,519.0,511.0,13242.0,950.0,6604.0,268.0,859.0,2015-12-16 17:08:26.000,2022-01-19 18:35:41.000,2022-01-19 18:35:17.000,2021-12-20 18:15:33.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,True,mkr,MKR - Maker,https://github.com/makerdao,"Utility token, governance token and recapitalization resource of the Maker system.",defi,33,True,16832.0,488.0,3632.0,29646.0,1397.0,598.0,227.0,3157.0,179.0,586.0,776.0,415.0,2017-03-29 20:26:37.000,2022-01-15 23:55:38.000,2022-01-14 20:50:39.000,2021-12-07 17:39:41.000,1,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,True,avax,AVAX - Avalanche,https://github.com/ava-labs,Open-source platform for launching decentralized finance applications and enterprise blockchain deployments in one..,smart-contract-platform,33,True,17822.0,1601.0,2370.0,18364.0,805.0,390.0,648.0,2551.0,172.0,511.0,418.0,292.0,2019-12-31 00:09:18.000,2022-01-19 16:47:22.000,2022-01-19 16:06:11.000,2022-01-19 16:08:09.000,2,,['avax'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,True,bzz,BZZ - Swarm,https://github.com/ethersphere,System of peer-to-peer networked nodes that create a decentralised storage and communication service. The system is..,others,33,True,14020.0,211.0,2226.0,64186.0,617.0,200.0,385.0,3785.0,484.0,2230.0,163.0,577.0,2014-03-16 02:06:34.000,2022-01-19 18:42:04.000,2022-01-18 12:38:06.000,2021-12-23 14:09:24.000,1,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,True,bts,BTS - BitShares,https://github.com/bitshares,"Public, blockchain-based, real-time financial platform. It provides a decentralised asset exchange. BTS is a..",exchange-tokens,33,True,20544.0,84.0,2156.0,11906.0,1797.0,383.0,317.0,3291.0,864.0,3067.0,513.0,387.0,2015-10-12 17:36:04.000,2022-01-19 11:46:56.000,2022-01-18 21:07:13.000,2021-12-16 11:07:47.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,True,mana,MANA - Decentraland,https://github.com/decentraland,"Decentraland will be a virtual reality platform powered by the Ethereum blockchain. Users can create, experience, and..",metaverse,33,True,9415.0,226.0,1917.0,38454.0,845.0,450.0,2840.0,5398.0,608.0,2320.0,492.0,246.0,2017-07-11 04:13:11.000,2022-01-19 17:51:23.000,2022-01-19 17:51:21.000,2022-01-18 15:22:35.000,1,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,True,maid,MAID - MaidSafeCoin,https://github.com/maidsafe,"Blockchain based storage solutions that store a data identifier (e.g. hash) in a blockchain, but store the data..",web3,33,True,38547.0,786.0,1717.0,54381.33333333333,545.0,297.0,979.0,8665.0,359.0,1447.0,278.0,518.0,2015-02-24 16:52:53.000,2022-01-19 16:34:21.000,2022-01-19 13:55:36.000,2022-01-17 09:12:29.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,True,hbar,HBAR - Hedera,https://github.com/hashgraph,Decentralized public network for you to make your digital world exactly as it should be yours. Whether youre a startup..,exchange-tokens,33,True,14352.0,1035.0,1051.0,37098.0,441.0,250.0,427.0,5353.0,635.0,2884.0,193.0,177.0,2017-10-31 02:29:52.000,2022-01-19 18:25:45.000,2022-01-19 06:21:19.000,2022-01-19 06:30:58.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,True,clny,CLNY - MarsColony,https://github.com/JoinColony,Hybrid token that contains attributes of government and utility tokens. Token holders can use this token to take part..,others,33,True,19749.0,954.0,804.0,334786.0,197.0,107.0,128.0,3121.0,243.0,1956.0,1367.0,132.0,2017-04-12 19:14:16.000,2022-01-19 17:53:35.000,2022-01-19 17:47:24.000,2021-12-10 14:44:02.000,1,,['one'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,True,ada,ADA - Cardano,https://github.com/input-output-hk,"Token on a distributed computing platform that runs smart contracts, decentralized applications, side chains, multi-..",smart-contract-platform,32,True,54898.0,840.0,7807.0,1692.0,1732.0,1049.0,287.0,13955.0,1320.0,3288.0,52.0,609.0,2015-12-22 17:38:21.000,2022-01-19 15:58:14.000,2022-01-19 01:17:25.000,2022-01-17 16:58:11.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,True,storj,STORJ - Storj,https://github.com/storj,"Distributed, encrypted, and blazing fast object storage, where only you have access to your data.",web3,32,True,12513.0,291.0,3599.0,237136.0,522.0,336.0,1121.0,4864.0,215.0,606.0,131.0,284.0,2016-03-28 19:59:15.000,2022-01-19 17:09:59.000,2022-01-19 16:39:36.000,2022-01-11 15:48:12.000,1,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,True,icp,ICP - Internet Computer,https://github.com/dfinity,Worlds first blockchain that is capable of running at web speed at unrestrictive capacities. Built by the DFINITY..,smart-contract-platform,32,True,11225.0,1509.0,3482.0,370892.0,772.0,592.0,216.0,7130.0,707.0,1053.0,36.0,459.0,2018-05-11 11:12:10.000,2022-01-19 18:06:40.000,2022-01-19 18:05:59.000,2022-01-14 22:18:32.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,True,zrx,ZRX - 0x,https://github.com/0xProject,"An Open Protocol For Decentralized Exchange On The Ethereum Blockchain 0x is an open, permissionless protocol allowing..",exchange-tokens,32,True,26125.0,90.0,3290.0,10774.666666666666,1638.0,299.0,172.0,5497.0,614.0,1220.0,54.0,300.0,2017-04-24 21:03:08.000,2022-01-19 17:13:42.000,2022-01-19 17:13:40.000,2021-08-16 02:03:54.419,2,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,True,ckb,CKB - Nervos Network,https://github.com/nervosnetwork,"Nervos CKByte (Common Knowledge Byte) is the native token of the Nervos Common Knowledge Base, a multi-asset, store of..",others,32,True,20543.0,486.0,2075.0,57676.0,524.0,234.0,371.0,7850.0,118.0,653.0,211.0,201.0,2018-02-26 06:42:54.000,2022-01-19 16:48:48.000,2022-01-19 01:57:39.000,2022-01-18 07:57:50.485,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,True,matic,MATIC - Polygon,https://github.com/maticnetwork,Matic Network brings massive scale to Ethereum using an adapted version of Plasma with PoS based side chains.,smart-contract-platform,32,True,20988.0,325.0,1825.0,32232.0,910.0,345.0,210.0,2302.0,244.0,377.0,694.0,929.0,2017-08-05 15:23:46.000,2022-01-19 18:01:48.000,2022-01-19 11:10:20.000,2022-01-18 11:36:51.018,2,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,True,ae,AE - Aeternity,https://github.com/aeternity,"Ternity team is building a next-level, brand new blockchain technology in the making, with many features that tackle..",web3,32,True,12655.0,273.0,1523.0,5742.0,400.0,284.0,340.0,5488.0,481.0,1527.0,381.0,207.0,2017-08-09 11:44:30.000,2022-01-19 09:04:00.000,2022-01-18 11:33:00.000,2022-01-18 11:57:40.000,1,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,True,luna,LUNA - Terra,https://github.com/terra-money,A stable foundation for the future of decentralized finance.,defi,32,True,5252.0,675.0,1448.0,109038.0,859.0,256.0,372.0,1624.0,84.0,647.0,646.0,502.0,2018-11-18 17:11:47.000,2022-01-19 08:37:04.000,2022-01-19 03:23:46.000,2022-01-13 02:06:03.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,True,etc,ETC - Ethereum Classic,https://github.com/ethereumclassic,Open source distributed computing platform based on blockchain that offers a smart contract (scripting) functionality...,smart-contract-platform,32,True,226655.0,346.0,1398.0,9136.0,936.0,205.0,265.0,3993.0,537.0,1663.0,3.0,2949.0,2016-07-15 07:43:41.000,2022-01-19 18:55:23.000,2022-01-19 16:39:11.000,2022-01-17 04:46:37.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,True,snx,SNX - Synthetix Network Token,https://github.com/Synthetixio,Synthetix Network Token will be a decentralised payment network where users transact directly in a price-stable..,defi,32,True,15427.0,717.0,1224.0,42164.0,770.0,152.0,774.0,4566.0,249.0,230.0,319.0,423.0,2017-11-30 07:43:43.000,2022-01-19 17:44:24.000,2022-01-19 02:59:49.000,2021-12-21 22:18:36.000,1,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,True,snt,SNT - Status,https://github.com/status-im,"Interface to access Ethereum, built for Android & iOS. Enjoy encrypted messaging, a cryptocurrency wallet, and..",web3,31,True,22515.0,301.0,6339.0,186.0,1390.0,600.0,185.0,10349.0,679.0,7593.0,26.0,1534.0,2016-02-22 21:48:48.000,2022-01-19 17:01:41.000,2022-01-19 15:36:32.000,2021-10-28 16:03:39.000,2,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,True,zec,ZEC - Zcash,https://github.com/zcash,Decentralized and open-source cryptocurrency that provides strong privacy protections. Shielded transactions hide the..,privacy-coins,31,True,22575.0,415.0,5218.0,13972.666666666666,2180.0,541.0,86.0,3314.0,1398.0,3014.0,6.0,709.0,2014-11-22 03:13:10.000,2022-01-19 18:16:55.000,2022-01-19 18:16:51.000,2022-01-05 22:40:24.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,True,nim,NIM - Nimiq,https://github.com/nimiq,Blockchain designed for simplicity. Nimiq aims to be the best performing and easiest-to-use decentralized payment..,others,31,True,7620.0,447.0,2403.0,149122.0,626.0,214.0,80.0,921.0,137.0,484.0,827.0,125.0,2017-05-09 19:33:54.000,2022-01-19 17:14:38.000,2022-01-19 14:28:28.000,2021-12-07 02:18:25.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,True,egld,EGLD - Elrond,https://github.com/ElrondNetwork,"Technology ecosystem for the new internet. Its smart contracts execution platform is capable of 15,000 TPS, 5s latency..",smart-contract-platform,31,True,32162.0,1198.0,1193.0,3236.0,336.0,192.0,722.0,5051.0,150.0,494.0,68.0,163.0,2018-08-17 09:42:40.000,2022-01-19 17:57:00.770,2022-01-19 07:37:54.000,2022-01-19 12:30:24.629,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,True,celo,CELO - Celo,https://github.com/celo-org,"A platform for fast, secure, stable digital payments to any mobile number at a fraction of todays cost.",cryptocurrency,31,True,18303.0,178.0,972.0,73664.0,418.0,233.0,486.0,5675.0,1474.0,4311.0,66.0,932.0,2018-03-23 00:51:51.000,2022-01-19 17:13:00.000,2022-01-19 16:47:09.000,2022-01-17 15:34:59.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,True,ever,EVER - Everscale,https://github.com/tonlabs,"Fast, secure and scalable network with near-zero fees, which can process up to a million transactions per second..",others,31,True,302006.0,544.0,549.0,3690.0,215.0,161.0,264.0,1947.0,42.0,122.0,225.0,1421.0,2019-04-15 13:36:56.000,2022-01-19 18:08:32.000,2022-01-19 14:13:38.000,2022-01-19 15:35:07.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
