,group,group_id,name,homepage,description,category,projectrank,show,commit_count,recent_commit_count,star_count,monthly_downloads,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,projectrank_placing,labels,trending,github_id,npm_id,github_url,license,latest_stable_release_number,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_monthly_downloads,go_id,maven_id,github_release_downloads,maven_url,maven_latest_release_published_at,go_url,go_latest_release_published_at,go_dependent_project_count,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,pypi_id,conda_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_dependent_project_count,maven_dependent_project_count
10,True,lbc,LBC - LBRY Credits,https://github.com/lbryio,Decentralized digital content distribution protocol and a marketplace for the same. it supports a variety of content..,others,36,True,48503,341.0,19123,893984.0,1491.0,471,397.0,8119.0,1453.0,6189.0,11.0,1353.0,2015-08-20 15:24:10.000,2022-01-08 03:56:37.000,2022-01-08 03:56:36.000,2021-12-31 17:36:14.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,True,dot,DOT - Polkadot,https://github.com/paritytech,"Platform that allows diverse blockchains to transfer messages, including value, in a trust-free fashion; sharing their..",smart-contract-platform,36,True,7908,346.0,7381,905107.3333333334,1656.0,738,325.0,5013.0,675.0,1769.0,923.0,400.0,2016-02-01 10:05:33.000,2022-01-09 01:47:54.000,2022-01-07 19:25:53.000,2021-12-10 18:19:21.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,True,trx,TRX - TRON,https://github.com/tronprotocol,"TRON is a blockchain-based, open-source protocol for the global digital entertainment industry. TRON supports various..",smart-contract-platform,36,True,27816,280.0,4260,118726.0,2366.0,594,320.0,4799.0,128.0,1502.0,1864.0,595.0,2017-12-26 10:20:38.000,2022-01-07 10:33:19.000,2022-01-06 09:13:53.000,2021-12-17 15:45:06.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,True,ant,ANT - Aragon,https://github.com/aragon,Create value without borders or intermediaries.,web3,36,True,11206,283.0,3641,17110.0,1447.0,515,613.0,6903.0,748.0,2569.0,4633.0,573.0,2017-03-01 15:45:32.000,2022-01-07 22:22:30.000,2022-01-07 09:56:32.000,2021-12-28 15:35:42.000,1,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,True,ens,ENS - Ethereum Name Service,https://github.com/ensdomains,"Distributed, open, and extensible naming system based on the ethereum blockchain. enss job is to map human-readable..",metaverse,36,True,5415,349.0,1864,649570.0,998.0,191,146.0,2132.0,363.0,887.0,38562.0,259.0,2016-05-29 11:31:55.000,2022-01-09 05:15:58.000,2022-01-09 05:13:31.000,2021-12-21 02:12:59.739,1,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,True,near,NEAR - Near,https://github.com/nearprotocol,"Sharded, developer-friendly, proof-of-stake public blockchain, built by a world-class team that has built some of the..",smart-contract-platform,36,True,13277,1184.0,1664,92828.66666666666,638.0,173,138.0,6646.0,911.0,2554.0,1836.0,333.0,2018-10-02 22:30:39.000,2022-01-09 07:10:58.000,2022-01-08 16:11:01.000,2021-12-16 18:48:15.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,True,xrp,XRP - XRP,https://github.com/ripple,"Ripple is the catchall name for the cryptocurrency platform, the transactional protocol for which is actually xrp, in..",cryptocurrency,35,True,19193,174.0,5458,163922.0,1952.0,867,382.0,5137.0,410.0,1258.0,1843.0,292.0,2011-11-07 04:40:15.000,2022-01-09 09:23:30.000,2022-01-07 18:50:26.000,2021-12-24 01:41:00.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,True,lsk,LSK - Lisk,https://github.com/LiskHQ,"Blockchain application platform, founded by max kordek and oliver beddows in early 2016. based on its own blockchain..",smart-contract-platform,35,True,60039,861.0,3775,28446.0,720.0,364,281.0,6329.0,406.0,7337.0,191.0,256.0,2016-01-11 15:57:05.000,2022-01-08 20:55:46.000,2022-01-07 10:12:50.000,2021-11-05 13:38:27.000,2,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,True,cake,CAKE - PancakeSwap,https://github.com/pancakeswap,Pancakeswap is an automated market maker (amm) that allows two tokens to be exchanged on the binance smart chain. it..,amm,35,True,6263,443.0,3475,89772.0,7058.0,239,146.0,3851.0,265.0,500.0,5790.0,270.0,2020-09-14 05:26:25.000,2022-01-08 23:27:17.000,2022-01-07 08:46:30.000,2021-11-18 21:23:37.736,2,['bsc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,True,flow,FLOW - Flow,https://github.com/onflow,"Blockchain networkthat aims to befast, secure, and developer friendly. the idea for a new blockchain targetinggames..",metaverse,35,True,35795,2949.0,2506,102774.0,743.0,463,1139.0,5060.0,529.0,1049.0,3447.0,435.0,2020-04-15 21:09:27.000,2022-01-08 22:56:58.000,2022-01-08 01:53:13.000,2021-12-22 16:00:02.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,True,algo,ALGO - Algorand,https://github.com/algorand,Powered by consensus.,cryptocurrency,35,True,10148,520.0,2154,111024.0,948.0,360,255.0,4353.0,646.0,1605.0,1173.0,459.0,2018-08-13 11:50:28.000,2022-01-09 03:49:53.000,2022-01-07 16:39:54.000,2022-01-05 15:30:34.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,True,bnb,BNB - Binance Coin,https://github.com/binance-chain,"Trading platform exclusively for cryptocurrencies. the name binance is a combination of binary and finance. thus, the..",exchange-tokens,34,True,17495,164.0,9231,9594.0,4492.0,1185,243.0,1982.0,478.0,1065.0,601.0,1070.0,2017-10-16 04:17:35.000,2022-01-07 22:37:09.000,2022-01-07 00:47:37.000,2022-01-05 04:00:47.000,1,['bsc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,True,twt,TWT - Trust Wallet Token,https://github.com/trustwallet,Utility token that can only be used within the app. this will be used to incentivize all trust wallet users. what are..,exchange-tokens,34,True,18972,968.0,4933,3760.0,13161.0,404,233.0,20848.0,110.0,2094.0,24.0,4459.0,2018-01-24 22:40:17.000,2022-01-09 10:56:39.000,2022-01-09 09:20:33.000,2022-01-04 11:18:31.000,1,['bsc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,True,srm,SRM - Serum,https://github.com/project-serum,No description.,exchange-tokens,34,True,2475,185.0,3795,386964.0,1913.0,188,249.0,1368.0,779.0,478.0,5564.0,275.0,2020-08-05 09:14:17.000,2022-01-09 04:25:40.000,2022-01-08 21:29:00.000,2022-01-06 23:10:15.000,1,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,True,link,LINK - Chainlink,https://github.com/smartcontractkit,"Framework for building decentralized oracle networks (dons) that bring real-world data onto blockchain networks,..",web3,34,True,18344,807.0,3220,94634.0,1012.0,570,106.0,5866.0,123.0,282.0,3205.0,175.0,2017-07-16 02:55:36.000,2022-01-08 01:54:06.000,2022-01-07 21:27:36.000,2022-01-06 03:06:13.688,1,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,True,gno,GNO - Gnosis,https://github.com/gnosis,"Crowd-sources, ethereum based prediction market.",exchange-tokens,34,True,18798,544.0,2821,19454.0,1624.0,241,655.0,7071.0,573.0,3950.0,780.0,255.0,2017-05-19 12:38:57.000,2022-01-08 15:00:06.000,2022-01-07 18:25:42.000,2022-01-05 13:16:00.000,1,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,True,sushi,SUSHI - Sushi,https://github.com/sushiswap,"Defi protocol that is completely community-driven, serving up delicious interest for your held crypto assets. on..",amm,34,True,8548,1106.0,2556,17808.0,2346.0,264,125.0,1107.0,144.0,180.0,590.0,223.0,2020-08-24 06:21:05.000,2022-01-09 10:33:36.000,2022-01-09 10:33:36.000,2022-01-07 14:58:52.067,2,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,True,grt,GRT - The Graph,https://github.com/graphprotocol,The graph is an indexing protocol and global api for organizing blockchain data and making it easily accessible with..,web3,34,True,9826,434.0,2548,4948.0,797.0,280,216.0,3712.0,484.0,1407.0,11045.0,200.0,2018-04-19 07:13:50.000,2022-01-08 19:33:06.000,2022-01-07 20:31:34.000,2022-01-05 16:58:36.025,1,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,True,dcr,DCR - Decred,https://github.com/decred,"Decred aims to build a community-directed digital currency whose security, adaptability, and sustainability make it a..",privacy-coins,34,True,26782,591.0,2528,31436.0,1584.0,519,336.0,13180.0,940.0,6583.0,515.0,858.0,2015-12-16 17:08:26.000,2022-01-08 22:20:29.000,2022-01-08 18:41:35.000,2021-12-20 18:15:33.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,True,btc,BTC - Bitcoin,https://github.com/bitcoin,"Decentralized peer-to-peer internet currency making mobile payment easy, very low transaction fees, protects your..",cryptocurrency,33,True,35851,1185.0,67266,32.0,34706.0,4711,36.0,17781.0,1110.0,6036.0,,1365.0,2010-12-19 15:16:43.000,2022-01-09 07:56:56.000,2022-01-08 08:09:26.000,2021-09-14 11:32:48.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,True,ada,ADA - Cardano,https://github.com/input-output-hk,Decentralised platform that will allow complex programmable transfers of value in a secure and scalable fashion. it is..,smart-contract-platform,33,True,55489,512.0,8056,1590.0,1816.0,1205,287.0,13564.0,844.0,2849.0,56.0,696.0,2015-12-22 17:38:21.000,2022-01-09 07:30:47.000,2022-01-09 01:20:34.000,2022-01-05 11:32:22.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,True,mkr,MKR - Maker,https://github.com/makerdao,Cryptocurrency depicted as a smart contract platform and works alongside the dai coin and aims to act as a hedge..,defi,33,True,16742,448.0,3581,26194.0,1401.0,596,226.0,3140.0,178.0,585.0,764.0,415.0,2017-03-29 20:26:37.000,2022-01-08 17:48:38.000,2022-01-04 12:01:50.000,2021-12-07 17:39:41.000,1,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,True,avax,AVAX - Avalanche,https://github.com/ava-labs,High throughput smart contract blockchainplatform. validators secure the network through a proof-of-stake consensus..,smart-contract-platform,33,True,17628,1767.0,2295,17830.0,768.0,374,642.0,2514.0,156.0,509.0,399.0,282.0,2019-12-31 00:09:18.000,2022-01-08 16:46:19.000,2022-01-08 16:46:19.000,2021-12-22 18:25:09.000,2,['avax'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,True,bzz,BZZ - Swarm,https://github.com/ethersphere,System of peer-to-peer networked nodes that create a decentralised storage and communication service. the system is..,others,33,True,14002,228.0,2224,63982.0,617.0,205,385.0,3745.0,480.0,2225.0,163.0,577.0,2014-03-16 02:06:34.000,2022-01-09 00:04:04.000,2022-01-05 12:50:25.000,2021-12-23 14:09:24.000,1,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,True,bts,BTS - BitShares,https://github.com/bitshares,"Cryptocurrency whose value is pegged to that of another asset, such as the us dollar or gold. smartcoins always have..",exchange-tokens,33,True,20539,94.0,2155,11816.0,1795.0,383,316.0,3283.0,876.0,3063.0,510.0,387.0,2015-10-12 17:36:04.000,2022-01-08 21:57:12.000,2022-01-08 14:01:10.000,2021-12-16 11:07:47.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,True,maid,MAID - MaidSafeCoin,https://github.com/maidsafe,"SAFE (Secure Access For Everyone) Network based on the unused hard drive, processing power and data connection of the..",web3,33,True,39684,819.0,1881,55122.66666666667,646.0,356,991.0,8949.0,420.0,1544.0,353.0,598.0,2015-02-24 16:52:53.000,2022-01-09 02:20:46.000,2022-01-08 11:03:16.000,2022-01-06 14:10:18.018,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,True,dash,DASH - Dash,https://github.com/dashpay,"Dash (dash) is digital cash designed to offer financial freedom to everyone. payments are instant, easy and secure,..",cryptocurrency,33,True,28492,244.0,1719,1955550.0,1682.0,348,155.0,4761.0,131.0,631.0,16.0,777.0,2014-05-01 17:45:34.000,2022-01-07 11:52:48.013,2021-12-28 04:21:50.000,2021-12-14 18:19:04.236,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,True,clny,CLNY - MarsColony,https://github.com/JoinColony,Hybrid token that contains attributes of government and utility tokens. token holders can use this token to take part..,others,33,True,19710,1000.0,801,325242.0,197.0,105,128.0,3105.0,243.0,1937.0,1359.0,131.0,2017-04-12 19:14:16.000,2022-01-07 17:38:09.000,2022-01-04 10:36:13.000,2021-12-10 14:44:02.000,1,['one'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,True,neo,NEO - NEO,https://github.com/neo-project,Distributed ledger protocol that digitalizes real-world assets.,smart-contract-platform,32,True,6988,63.0,5090,25884.0,2678.0,804,239.0,6156.0,443.0,3302.0,736.0,515.0,2015-05-31 17:02:33.000,2022-01-07 06:21:22.000,2022-01-05 07:54:18.000,2021-12-02 09:19:09.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,True,storj,STORJ - Storj,https://github.com/storj,Decentralized cloud storage platform.,web3,32,True,12484,316.0,3581,231334.0,520.0,335,1115.0,4861.0,181.0,602.0,129.0,283.0,2016-03-28 19:59:15.000,2022-01-09 11:30:23.000,2022-01-07 21:21:05.000,2021-12-14 12:36:50.000,2,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,True,zrx,ZRX - 0x,https://github.com/0xProject,The protocol for decentralized exchange.,exchange-tokens,32,True,26434,91.0,3463,8947.333333333334,1712.0,329,173.0,5554.0,635.0,1241.0,54.0,336.0,2017-04-24 21:03:08.000,2022-01-07 21:48:55.000,2022-01-05 08:39:25.000,2021-08-16 02:03:54.419,2,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,True,icp,ICP - Internet Computer,https://github.com/dfinity,Internet computer (ic) is the worlds first blockchain that is capable of running at web speed at unrestrictive..,smart-contract-platform,32,True,10053,1192.0,3392,283351.3333333333,750.0,560,210.0,6710.0,697.0,1036.0,34.0,429.0,2018-05-11 11:12:10.000,2022-01-09 06:31:42.000,2022-01-09 06:31:42.000,2022-01-07 22:50:25.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,True,etc,ETC - Ethereum Classic,https://github.com/ethereumclassic,A decentralized platform for applications.,smart-contract-platform,32,True,47556,369.0,2587,13758.0,1117.0,221,214.0,3590.0,597.0,1704.0,3.0,1740.0,2016-07-15 07:43:41.000,2022-01-09 11:46:29.000,2022-01-09 11:46:28.000,2022-01-04 22:35:25.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,True,nim,NIM - Nimiq,https://github.com/nimiq,Nimiq is designed to make cryptocurrencies easy to use for everyone without compromising decentralization. nimiq is..,others,32,True,7646,430.0,2475,139438.0,651.0,230,81.0,908.0,142.0,484.0,963.0,133.0,2017-05-09 19:33:54.000,2022-01-09 10:31:03.000,2022-01-08 14:20:36.000,2021-12-07 02:18:25.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,True,ckb,CKB - Nervos Network,https://github.com/nervosnetwork,Building a layered infrastructure for the future crypto economy.,others,32,True,20495,539.0,2062,57692.0,521.0,232,371.0,7825.0,126.0,651.0,207.0,201.0,2018-02-26 06:42:54.000,2022-01-08 06:53:13.000,2022-01-06 12:18:24.000,2021-12-31 10:22:55.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,True,mana,MANA - Decentraland,https://github.com/decentraland,A blockchain-based virtual reality world.,metaverse,32,True,8314,162.0,1838,26930.0,779.0,411,2791.0,4661.0,549.0,2177.0,479.0,225.0,2017-07-11 04:13:11.000,2022-01-08 00:19:24.000,2022-01-07 19:18:44.000,2022-01-05 18:36:53.000,1,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,True,matic,MATIC - Polygon,https://github.com/maticnetwork,Scalable and Instant Blockchain Transactions.,smart-contract-platform,32,True,20911,306.0,1754,34320.0,882.0,347,200.0,2261.0,235.0,358.0,652.0,921.0,2017-08-05 15:23:46.000,2022-01-08 22:02:27.000,2022-01-07 16:59:04.000,2021-12-25 12:21:10.395,2,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,True,ae,AE - Aeternity,https://github.com/aeternity,"Trustless, decentralized, and functional oracle machine.",web3,32,True,12633,298.0,1522,5324.0,400.0,282,339.0,5476.0,481.0,1525.0,380.0,206.0,2017-08-09 11:44:30.000,2022-01-09 12:01:04.000,2022-01-06 16:57:59.000,2021-12-08 09:04:45.000,2,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,True,luna,LUNA - Terra,https://github.com/terra-money,A stable foundation for the future of decentralized finance.,defi,32,True,5167,730.0,1382,103276.0,820.0,246,418.0,1591.0,100.0,618.0,618.0,489.0,2018-11-18 17:11:47.000,2022-01-08 18:52:58.000,2022-01-08 18:50:23.000,2022-01-06 06:53:44.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,True,snx,SNX - Synthetix Network Token,https://github.com/Synthetixio,Havven is a decentralised payment network and stablecoin. It allows anyone to transact using a stable cryptocurrency.,defi,32,True,15342,768.0,1213,40506.0,744.0,156,770.0,4521.0,250.0,230.0,319.0,419.0,2017-11-30 07:43:43.000,2022-01-09 11:45:45.000,2022-01-07 02:50:42.000,2021-12-21 22:18:36.000,1,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,True,celo,CELO - Celo,https://github.com/celo-org,Native cryptographic digital asset created at the mainnet release of the celo platform. cgld has no relationship to..,others,32,True,18291,197.0,957,68592.0,418.0,227,482.0,5649.0,1477.0,4276.0,66.0,929.0,2018-03-23 00:51:51.000,2022-01-09 04:10:00.000,2022-01-08 00:33:35.000,2022-01-07 15:30:50.525,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,True,snt,SNT - Status,https://github.com/status-im,"Status is a browser, messenger, and gateway to a decentralised world.",web3,31,True,22470,298.0,6320,180.0,1382.0,599,185.0,10299.0,678.0,7578.0,26.0,1533.0,2016-02-22 21:48:48.000,2022-01-09 06:13:46.000,2022-01-08 19:39:29.000,2021-10-28 16:03:39.000,2,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,True,zec,ZEC - Zcash,https://github.com/zcash,Decentralized and open-source cryptocurrency that offers privacy and selective transparency of transactions. zcash..,privacy-coins,31,True,22513,369.0,5214,13173.333333333332,2180.0,543,86.0,3289.0,1390.0,2994.0,6.0,707.0,2014-11-22 03:13:10.000,2022-01-09 10:58:49.000,2022-01-06 11:59:40.000,2022-01-05 22:40:24.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,True,egld,EGLD - Elrond,https://github.com/ElrondNetwork,"Technology ecosystem for the new internet. its smart contracts execution platform is capable of 15,000 tps, 5s latency..",smart-contract-platform,31,True,32040,1339.0,1185,2862.6666666666665,328.0,196,714.0,4976.0,148.0,492.0,68.0,160.0,2018-08-17 09:42:40.000,2022-01-08 19:26:54.000,2022-01-07 22:39:09.000,2021-12-29 08:52:01.602,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,True,hbar,HBAR - Hedera,https://github.com/hashgraph,A governing body and public hashgraph network designed to address the needs of mainstream markets.,others,31,True,13292,845.0,1044,33622.0,434.0,254,460.0,5191.0,625.0,2830.0,189.0,168.0,2017-10-31 02:29:52.000,2022-01-09 06:34:59.000,2022-01-09 04:56:39.000,2022-01-04 23:08:14.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,True,zen,ZEN - Horizen,https://github.com/HorizenOfficial,Zero-knowledge-enabled network of blockchains powered by the largest node infrastructure in the industry. blockchain..,privacy-coins,31,True,32217,206.0,791,22954.0,515.0,284,153.0,1285.0,237.0,660.0,59.0,1122.0,2017-07-13 19:04:54.000,2022-01-07 18:26:34.000,2021-12-05 17:24:16.000,2021-12-05 19:04:41.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,True,ever,EVER - Everscale,https://github.com/tonlabs,"Fast, secure and scalable network with near-zero fees, which can process up to a million transactions per second..",others,31,True,301965,569.0,544,3244.0,211.0,161,264.0,1913.0,42.0,121.0,221.0,1421.0,2019-04-15 13:36:56.000,2022-01-07 21:43:29.000,2022-01-07 21:30:15.000,2022-01-07 21:25:45.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,True,doge,DOGE - Dogecoin,https://github.com/dogecoin,Cryptocurrency based on the popular doge internet meme and features a shiba inu on its logo. dogecoin is a litecoin..,meme-tokens,30,True,16843,118.0,14167,174628.0,2642.0,964,38.0,1813.0,257.0,1010.0,,731.0,2013-12-06 11:38:05.000,2022-01-09 00:30:06.000,2022-01-03 06:41:32.000,2021-11-08 18:52:11.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,True,hns,HNS - Handshake,https://github.com/handshake-org,Decentralized naming and certificate authority.,web3,30,True,8241,83.0,3479,9369.333333333332,491.0,302,102.0,625.0,225.0,374.0,487.0,128.0,2018-02-09 01:30:38.000,2022-01-07 18:50:43.000,2022-01-07 15:19:09.000,2021-10-21 14:53:22.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,True,oxen,OXEN - Oxen,https://github.com/oxen-io,Trade and Communicate with Absolute Freedom.,privacy-coins,30,True,55635,468.0,2451,257714.0,440.0,170,316.0,4816.0,591.0,1511.0,,896.0,2018-01-15 22:50:09.000,2022-01-07 07:21:53.000,2022-01-05 03:02:44.000,2021-12-18 13:50:27.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
